Start,End,Open,High,Low,Close,Volume,Market Cap
2024-04-14,2024-04-15,570.1717778067656,670.4871104431277,556.8129266057927,661.4516970825892,185714396551.6357,114825913150.67992
2024-04-13,2024-04-14,704.6017117863548,712.0149919277522,498.3949844567943,572.9760692410115,166658183918.1411,123083934932.46452
2024-04-12,2024-04-13,835.8016215819734,870.7213987420158,654.9195006044831,710.7030113920405,85729994819.76929,148242487344.80035
2024-04-11,2024-04-12,856.0831158843416,894.9144610904767,829.4579198921531,833.6271641835674,71192905383.93727,155127235249.54218
2024-04-10,2024-04-11,867.2765349468751,877.3072416008787,826.5853108385671,859.1081663048946,69675700047.58772,154933434343.61652
2024-04-09,2024-04-10,955.6266184458791,957.6380042479569,864.3835644175116,870.1558059701973,64880179427.21,163791937290.19925
2024-04-08,2024-04-09,939.5072567887211,972.9616672838065,919.1526204169533,953.7561771402077,64547434032.18251,169567384957.5928
2024-04-07,2024-04-08,906.5471366671228,954.5800609810375,906.5471366671228,936.9216369322647,67147031599.45278,166367558919.4742
2024-04-06,2024-04-07,892.6313388719044,940.9299283510167,888.7793457025083,908.0910160046603,75810508693.26529,161993121902.1874
2024-04-05,2024-04-06,891.7034203814882,907.3840065418487,848.0231979434623,896.7051704937211,72611694726.65819,156016413812.73596
2024-04-04,2024-04-05,879.5141516097281,929.5990465293669,865.7557701263664,896.2838493596696,71138006482.70514,156429125885.03198
2024-04-03,2024-04-04,888.0293802956576,931.4614337379767,861.6263378572597,881.4139329590238,95868317049.67126,155673041765.0928
2024-04-02,2024-04-03,994.3326251788909,994.5086906644347,889.7443424308225,892.7784440490846,105020089948.0551,156423643223.98965
2024-04-01,2024-04-02,1073.484960389495,1078.6899304579124,964.5893929287464,997.6412194397568,73033719728.96843,170961237945.16464
2024-03-31,2024-04-01,1056.7442443460836,1079.5418256335602,1056.7442443460836,1070.2546791399707,48166041189.569115,178327812916.24707
2024-03-30,2024-03-31,1094.8393639953752,1105.5460467761168,1053.395090824356,1060.2418885713287,97484612133.3562,177317294003.57162
2024-03-29,2024-03-30,1095.1590397966156,1124.4548881615585,1057.1629340493314,1091.1494328265521,96097991901.21559,177660933865.38022
2024-03-28,2024-03-29,1096.8793771215871,1119.7348718922246,1072.9513988000047,1096.1729175904322,122472957111.6994,178221918293.74033
2024-03-27,2024-03-28,1138.2422146560734,1190.3983193000643,1094.280636942815,1101.4898413236367,139846197353.30255,182274778039.61215
2024-03-26,2024-03-27,1127.7597052211902,1225.3112783813547,1126.1949173232745,1139.572124762576,133406503557.20158,185897882203.55753
2024-03-25,2024-03-26,1100.7049070247422,1155.574289938301,1092.0753084477087,1127.7126521543332,96189976378.35849,176106520418.003
2024-03-24,2024-03-25,1108.554515003698,1117.2169948932656,1064.2295521395195,1103.6305597881867,116782855479.92249,169599880668.71265
2024-03-23,2024-03-24,1038.4655934760183,1169.5869391368165,1037.4002185358265,1106.3689616220947,152621124956.28342,172589379357.494
2024-03-22,2024-03-23,1045.6864030858226,1092.2452387961075,1006.9642907358253,1040.844958199694,100787177494.71799,161652134616.67346
2024-03-21,2024-03-22,1083.8421622785513,1095.2619079681047,1026.8628915920376,1050.9937867629421,127963499409.68587,165059818558.1348
2024-03-20,2024-03-21,976.6749658797783,1095.9659049777626,953.999282642002,1089.3427530610363,176501527672.931,158115562243.78235
2024-03-19,2024-03-20,1145.0765969425026,1152.7932574300407,964.5509926472288,979.6834400647349,175744676284.09464,161011751808.404
2024-03-18,2024-03-19,1255.847656825044,1269.368486544082,1128.5713770549692,1142.8547525609808,205785574198.37738,182812154935.4981
2024-03-17,2024-03-18,1112.8493736790267,1280.4849557275495,1086.3587150077842,1250.1166472189934,215322072674.7377,183549082349.7934
2024-03-16,2024-03-17,1270.109616266242,1281.1437122079176,1076.1712350505375,1100.4257192838843,207526294469.73975,180954666155.9957
2024-03-15,2024-03-16,1399.028855596975,1399.028855596975,1141.0529647461897,1273.0611086522931,351269670501.61084,189850928383.2192
2024-03-14,2024-03-15,1246.4164452379623,1413.0958614347824,1211.4103622526438,1407.0652839320928,178641213388.08264,193139339043.96768
2024-03-13,2024-03-14,1318.1826470457986,1328.485426321452,1219.2378915717243,1247.1745035818385,203907242003.30246,190444724194.7844
2024-03-12,2024-03-13,1274.063891427905,1370.230568645686,1226.2159395001056,1325.554800105242,277415712328.15125,194551009427.02692
2024-03-11,2024-03-12,1256.1728558553652,1328.7589514349647,1208.0669356460367,1278.7546981574833,364905685172.05884,189426853590.10764
2024-03-10,2024-03-11,1519.002180385905,1533.6943864831703,1210.8927523835976,1244.7598729384913,578887461768.9996,194237529024.77228
2024-03-09,2024-03-10,979.8235508885213,1507.6053006561997,979.8235508885213,1507.6053006561997,571251869490.3716,195477683003.39087
2024-03-08,2024-03-09,938.3706096136591,1003.0793510174451,916.2226205119646,984.9941017994267,165776364349.5745,142004316151.86264
2024-03-07,2024-03-08,946.1591841982846,1030.5532949328235,922.701596000145,939.9393529952644,249810732309.91647,140416546580.65515
2024-03-06,2024-03-07,839.1019864535995,956.8034142766888,800.2984275228861,951.1120418147814,264117562427.14902,130362568674.11409
