Start,End,Open,High,Low,Close,Volume,Market Cap
2024-04-08,2024-04-09,933.952836167091,967.2094622744607,913.7185375693981,948.1175160867296,64165825911.46708,168564892882.13657
2024-04-07,2024-04-08,901.1875781602577,948.9365290791842,901.1875781602577,931.3825026430677,66750054509.27889,165383984398.51617
2024-04-06,2024-04-07,887.3540513572873,935.3670968137643,883.5248313917593,902.7223299948753,75362312631.14926,161035409302.99875
2024-04-05,2024-04-06,886.4316187740433,902.0195004124334,843.0096363086349,891.4037982536207,72182410235.61572,155094035853.5106
2024-04-04,2024-04-05,874.3144136562244,924.1032038133255,860.6373725108742,890.9849679942042,70717434520.82402,155504307948.43698
2024-04-03,2024-04-04,882.7792998232758,925.9545804822698,856.5323536814567,876.2029633895565,95301538077.67935,154752693841.04654
2024-04-02,2024-04-03,988.454073844513,988.629098420839,884.4841230042388,887.5002868402487,104399205171.40446,155498857701.20023
2024-04-01,2024-04-02,1067.1384559235503,1072.3126539113114,958.886685284101,991.7431075069285,72601940201.9816,169950505331.1476
2024-03-31,2024-04-01,1050.4967119505943,1073.1595126339707,1050.4967119505943,1063.9272722814756,47881280800.00058,177273528689.79227
2024-03-30,2024-03-31,1088.3666110743025,1099.0099953342537,1047.1673588159863,1053.9736779031903,96908277532.41241,176268984022.70837
2024-03-29,2024-03-30,1088.6843969339275,1117.8070465682479,1050.9129263363766,1084.6984949895339,95529855078.36891,176610592266.0052
2024-03-28,2024-03-29,1090.3945635262676,1113.1149353049811,1066.6080487806853,1089.692280624255,121748889986.45079,177168260122.34866
2024-03-27,2024-03-28,1131.5128616001905,1183.3606163713248,1087.8111872480242,1094.9777704003359,139019418638.372,181197159129.667
2024-03-26,2024-03-27,1121.092325360459,1218.0671680422606,1119.536788578068,1132.8349092021012,132617796680.20477,184798843294.6319
2024-03-25,2024-03-26,1094.1974766778976,1148.7424686623297,1085.618896781078,1121.0455504740237,95621295738.02342,175065368599.8077
2024-03-24,2024-03-25,1102.0006773256541,1110.611944138808,1057.9377661763576,1097.1058328149206,116092428560.87167,168597196476.75424
2024-03-23,2024-03-24,1032.3261255096165,1162.6722742775628,1031.2670491269876,1099.8280450606092,151718820138.91446,171569021078.3528
2024-03-22,2024-03-23,1039.5042452801335,1085.7878224915407,1001.0110602724167,1034.6914232929978,100191317938.52252,160696437953.81384
2024-03-21,2024-03-22,1077.4344254428306,1088.786656942905,1020.7920194625975,1044.7802514014863,127206971884.43129,164083975472.96747
2024-03-20,2024-03-21,970.9008076368128,1089.4864918819883,948.359184334897,1082.9024964180946,175458040549.2587,157180773999.00674
2024-03-19,2024-03-20,1138.3068386277632,1145.977877777273,958.8485120272433,973.8914955503684,174705663709.10867,160059841125.32294
2024-03-18,2024-03-19,1248.4230136705703,1261.8639074712103,1121.8991985439466,1136.0981299172665,204568958117.23254,181731359022.61813
2024-03-17,2024-03-18,1106.2701445509213,1272.9146554532435,1079.9361001684358,1242.7258861210005,214049076269.31915,182463929679.90378
2024-03-16,2024-03-17,1262.6006555920762,1273.569517327633,1069.8088491751998,1093.9199395109272,206299387150.81906,179884851822.9883
2024-03-15,2024-03-16,1390.757717008494,1390.757717008494,1134.3069943750597,1265.5346985863796,349192944124.5776,188728518839.25067
2024-03-14,2024-03-15,1239.0475599456527,1404.7415579034598,1204.2484349245342,1398.7466335197846,177585076320.1186,191997488228.14685
2024-03-13,2024-03-14,1310.3894758649265,1320.6313445204062,1212.029687442715,1239.8011366052554,202701730729.49487,189318804096.0256
2024-03-12,2024-03-13,1266.5315528528845,1362.1296871763,1218.9664807527504,1317.7180443339548,275775614774.68854,193400812735.18442
2024-03-11,2024-03-12,1248.74629010563,1320.9032525378082,1200.924774847197,1271.1946272648647,362748341896.60876,188306951200.5639
2024-03-10,2024-03-11,1510.0217526413921,1524.6270975761342,1203.73388519463,1237.4007813963362,575465045995.1788,193089185646.99222
2024-03-09,2024-03-10,974.0307780309531,1498.6922519163043,974.0307780309531,1498.6922519163043,567874595774.6929,194322007764.3792
2024-03-08,2024-03-09,932.8229089151197,997.149088539786,910.8058599913803,979.1707603492298,164796285004.71722,141164778515.19727
2024-03-07,2024-03-08,940.5654370014629,1024.4606049278214,917.2465314060173,934.3823777961547,248333836976.72934,139586395928.48083
2024-03-06,2024-03-07,834.1411675312006,951.1467377830238,795.5670174596098,945.4890130405347,262556084296.26758,129591857714.19333
2024-03-05,2024-03-06,959.5955422472139,972.9415118232428,808.7902782911193,838.0942320061313,201049273797.97122,135041551478.97972
2024-03-04,2024-03-05,1028.6692221205574,1077.0728617901618,957.6634970038941,960.8101287546133,246146080970.39084,147510183932.4423
2024-03-03,2024-03-04,999.0833297490406,1092.003491901423,978.291196124954,1027.2248915679536,247170338171.55463,147065025350.5615
2024-03-02,2024-03-03,1041.5004814977021,1055.7170092329857,982.093325296211,998.9406213615516,200726531926.25107,143475062331.7662
2024-03-01,2024-03-02,956.1361330482287,1075.7092916557597,956.1361330482287,1036.5494019921075,224238767100.3841,143897415430.15515
2024-02-29,2024-03-01,1026.4046971100684,1083.9233353093111,937.7929660293598,959.7253119942878,364587533200.569,141486017650.1553
2024-02-28,2024-02-29,938.6095486160265,1118.4796879898113,918.0739858240595,1026.2401332316806,306674344544.6779,136604637147.84146
2024-02-27,2024-02-28,1034.1455471571323,1058.0599148407337,919.9746951549039,931.3682722532907,336353648486.77124,136750590573.20575
2024-02-26,2024-02-27,1119.955657623474,1199.7553026126625,1017.358841721861,1038.298264010092,325908597480.67096,149747205978.8725
2024-02-25,2024-02-26,1058.8467276377494,1214.9905286641547,1058.8467276377494,1114.1245040520812,321136333968.4621,156614471933.1555
2024-02-24,2024-02-25,1073.38103258849,1096.010376317404,1000.2431089557391,1061.708295063553,327272313674.6589,140970534474.07477
2024-02-23,2024-02-24,1073.2646932941566,1173.7983776591961,1033.4903395727595,1073.3920642161377,500203157706.10876,144208573122.63913
2024-02-22,2024-02-23,920.3531400178106,1169.116076295844,920.3531400178106,1071.567519086622,520364788574.0344,142642908210.76495
