Start,End,Open,High,Low,Close,Volume,Market Cap
2024-06-30,2024-07-01,331.8960025762369,333.82178386401796,303.76707828737733,319.29273414998505,54564321878.37612,72051883497.52507
2024-06-29,2024-06-30,346.33044156111487,358.59782471808404,331.95835945397056,331.9651486476203,39641309695.89552,77767665206.28749
2024-06-28,2024-06-29,360.28505648811444,370.83376236634297,344.41098272037067,346.0984006726938,42448407571.78028,80516044836.82802
2024-06-27,2024-06-28,359.66089027305736,367.3005966516394,349.9260546646391,360.78313840186894,43325303777.48045,80253280375.15509
2024-06-26,2024-06-27,368.2985367708225,378.8183437961048,353.7532025166394,359.82357394542595,44284846911.43577,81878809271.90654
2024-06-25,2024-06-26,376.69047608884074,387.71052345551993,367.3820756840405,369.4017818207334,54897499932.015274,84412432941.1711
2024-06-24,2024-06-25,365.2984679695196,377.6180215434802,351.05139321522,377.11991393068354,50120565049.956184,81157870323.28554
2024-06-23,2024-06-24,380.7729039307961,392.19869969160624,363.97946119087726,365.1918958483543,38677471623.14186,85122266568.59557
2024-06-22,2024-06-23,384.92388103012195,397.4651836367806,377.62805144583984,380.84668842094516,56107480627.77747,86653157539.71713
2024-06-21,2024-06-22,396.94481609427703,405.2047472932027,385.3550517563545,385.8738840327553,84537201673.29929,87890483734.7191
2024-06-20,2024-06-21,359.4603939027502,412.5083271408963,359.01405705018806,393.3302710717366,71131752144.85007,87173920866.63893
2024-06-19,2024-06-20,365.37929545092493,377.10543705953614,357.392202265009,361.04448110250667,64657855439.441284,81573632544.66945
2024-06-18,2024-06-19,392.3758364604341,392.3758364604341,337.5383084736387,367.03228283900023,97205103376.2991,79667487202.81258
2024-06-17,2024-06-18,448.5577794044298,452.0006234480974,392.08153260044,393.6688073785137,46237024381.562416,93721739976.65382
2024-06-16,2024-06-17,438.43697412961546,453.3880613951606,427.4340357110443,447.76489967277473,31711213436.413376,98544718021.85217
2024-06-15,2024-06-16,445.2566255739874,453.86237643486305,436.5005733198684,438.81087557343426,45899433497.088524,99815622415.56886
2024-06-14,2024-06-15,474.72171107696494,483.30096135194583,434.15917431432536,445.0697698831637,45365387243.843216,103545079062.80481
2024-06-13,2024-06-14,497.9750491899718,504.2603297398678,469.59203466764075,471.4397337465919,59633106019.3489,108093460038.84125
2024-06-12,2024-06-13,492.91714326225645,530.3182927559227,473.0398112248115,500.65207614264597,71452575062.59137,112591389642.01727
2024-06-11,2024-06-12,527.5673630864901,530.8983563278491,482.5664039917487,491.7631960625067,96464045677.58942,113085780914.13101
2024-06-10,2024-06-11,548.145514229093,568.4878537384126,519.3744055248045,526.2200387217333,56956826186.453445,120925902892.32805
2024-06-09,2024-06-10,551.9145259413219,558.5754539845084,544.3577288901278,549.229706816413,43670596218.8085,123028293780.41876
2024-06-08,2024-06-09,568.8955075828802,583.705495192166,541.6295124528127,551.8702711108599,95502480923.17805,125824661193.87444
2024-06-07,2024-06-08,622.464502091337,641.3226116871662,535.8824388541374,572.7576526034651,72269401813.29666,137481520310.04446
2024-06-06,2024-06-07,637.4458420897831,654.8160166634256,616.858035936214,623.8524117295663,65085845468.63593,142314198876.38516
2024-06-05,2024-06-06,624.8960537712846,656.5142105368622,620.242167780375,638.3069006706128,58407297704.79087,141510362974.81564
2024-06-04,2024-06-05,624.7984920775401,633.285304510795,607.1549002988559,625.0281979690326,49107403724.91055,138170416461.00525
2024-06-03,2024-06-04,605.410299876142,631.5495223283284,600.5079734684531,623.9075551911254,47246605717.00899,137471916261.18445
2024-06-02,2024-06-03,620.5972394965764,627.5519827906514,598.2338176182269,606.8111357514975,37353411756.40779,137785355144.683
2024-06-01,2024-06-02,627.1083842046501,638.54681229647,617.5461701160774,620.9086898824723,48214626033.699776,139790820478.3144
2024-05-31,2024-06-01,637.0169245229462,641.7390653054201,611.1115250503375,627.2925361623587,83718670216.23364,140535181741.36172
2024-05-30,2024-05-31,645.2038078856997,668.9546635423334,610.2330135766125,639.5709607273012,119608000702.29027,143915906609.54788
2024-05-29,2024-05-30,606.9410535626963,642.9953465600279,603.6139151933688,639.9133768609006,84956199610.41742,139971154470.6973
2024-05-28,2024-05-29,621.7423774521512,621.7423774521512,590.0243170265029,605.6786844422929,70749143748.71307,134236794245.4172
2024-05-27,2024-05-28,587.1048474702351,630.2544870934885,585.2258150719375,623.0076878234948,45946991179.72662,134887032832.49377
2024-05-26,2024-05-27,610.6605730019127,613.4895565198509,586.0485141954489,587.9181624403553,42474744435.897736,133238962184.15898
2024-05-25,2024-05-26,593.871196552243,623.1326879099272,593.7994081161071,609.6857980823219,49629607339.17221,134821243128.96143
2024-05-24,2024-05-25,608.2526256389696,615.6947015792764,581.7146630814248,595.1429612446965,97671129289.41449,131284724222.04158
